course_id,title,platform,category,level,duration,skills,rating,reviews,url
18,Monitoring and Observability for Development and DevOps,Coursera,Computer Science,Intermediate,1 - 3 Months,"Grafana, System Monitoring, Prometheus (Software), Application Performance Management, DevOps, Continuous Monitoring, Docker (Software), Cloud-Native Computing, Interactive Data Visualization, Kubernetes, Information Technology Operations, Distributed Computing",4.8,1700,
19,Functional Programming Principles in Scala,Coursera,Computer Science,Intermediate,1 - 3 Months,"Scala Programming, Programming Principles, Object Oriented Programming (OOP), Functional Design, Software Design Patterns, Computer Programming, Data Structures, Software Engineering, Javascript, Algorithms, Computational Thinking",4.5,780,
20,Moneyball and Beyond,Coursera,Data Science,Intermediate,1 - 3 Months,"Analytics, Data Analysis, Advanced Analytics, Statistical Analysis, Data Science, Probability & Statistics, Statistics, Python Programming, Data Manipulation",4.2,40,
21,ChatGPT + Zapier: Automate Email Replies with AI,Coursera,Data Science,Beginner,1 - 4 Weeks,"ChatGPT, Gmail, Google Workspace, Google Docs, Workflow Management, Automation, Business Correspondence, Customer Inquiries, Administrative Support and Clerical Tasks, Scheduling, Communication Strategies, Real Time Data",3.9,60,
22,Prompt Engineering,Coursera,Data Science; Information Technology,Beginner,1 - 3 Months,"ChatGPT, Ideation, Verification And Validation, Data Presentation, Document Management, Generative AI, Creative Thinking, Creativity, Artificial Intelligence, Risk Management Framework, OpenAI, Productivity Software, Microsoft Excel, Data Ethics, Data Analysis, Information Management, Natural Language Processing, Data Transformation, Technical Communication, Problem Solving",4.8,5600,
23,Convolutional Neural Networks,Coursera,Data Science,Intermediate,1 - 4 Weeks,"Computer Vision, Image Analysis, Deep Learning, Artificial Neural Networks, Applied Machine Learning, Artificial Intelligence, Network Architecture, Machine Learning, Data Processing, Algorithms",4.9,42000,
24,用 Python 做商管程式設計（二）(Programming for Business Computing in Python (2)),Coursera,Computer Science,Intermediate,1 - 4 Weeks,"Data Structures, Data Visualization Software, Financial Data, Financial Analysis, Data Analysis, Debugging, Programming Principles, Python Programming, Data Manipulation, Data Import/Export, File Management, Data Validation, Computer Programming",4.2,41,
25,Advanced Leadership Skills for the 21st Century,Coursera,Business,Intermediate,3 - 6 Months,"Leadership Development, Crisis Management, Strategic Leadership, Organizational Change, Leadership, Organizational Leadership, Leadership and Management, Team Leadership, Change Management, Diversity and Inclusion, Business Leadership, Visionary, Team Management, Team Building, Organizational Strategy, Coaching, Professional Development, Employee Performance Management, Mentorship, Overcoming Obstacles",4.5,787,
26,Basic Data Processing and Visualization,Coursera,Information Technology,Intermediate,1 - 3 Months,"Data Processing, Data Manipulation, Interactive Data Visualization, Web Scraping, Data Visualization Software, Pandas (Python Package), Data Cleansing, Matplotlib, Data Import/Export, Exploratory Data Analysis, NumPy, Jupyter, JSON, Python Programming",4.3,46,
27,C Programming: Modular Programming and Memory Management - 3,Coursera,Computer Science,Beginner,1 - 3 Months,"C (Programming Language), System Programming, Hardware Architecture, Computer Architecture, Embedded Software, Operating Systems, Programming Principles, Computer Programming, Program Development, Debugging",3.5,17,
28,Manage Resources in Azure,Coursera,Computer Science,Intermediate,1 - 3 Months,"Microsoft Azure, Cloud Management, Application Deployment, Cloud Computing, Windows PowerShell, Infrastructure As A Service (IaaS), Cloud Infrastructure, Software As A Service, Virtual Machines, Platform As A Service (PaaS), Role-Based Access Control (RBAC), Command-Line Interface, Scripting",4.1,33,
29,Software Architecture for Big Data,Coursera,Computer Science,Advanced,1 - 3 Months,"Service Level, Software Engineering, Data Architecture, Web Applications, Software Architecture, Performance Testing, Scalability, Systems Architecture, Functional Requirement, Distributed Computing, Databases, Acceptance Testing, Application Deployment, Application Development, Predictive Modeling, Software Testing, System Design and Implementation, Requirements Elicitation, Transaction Processing, Database Architecture and Administration",3.9,63,
30,Product Management: Initial Product Strategy and Plan,Coursera,Computer Science,Beginner,1 - 3 Months,"Product Lifecycle Management, Product Roadmaps, Product Management, Product Planning, New Product Development, Product Strategy, Product Development, Project Planning, Agile Product Development, Business Planning, Team Building, Competitive Analysis, Market Analysis, Marketing Strategies, Financial Analysis, Risk Analysis",4.5,106,
31,Managing Linux Systems,Coursera,Computer Science,Beginner,1 - 4 Weeks,"Package and Software Management, Linux Administration, Linux, System Monitoring, Linux Commands, File Systems, User Accounts, Command-Line Interface, Systems Administration, Data Storage, System Configuration, Operating Systems, Performance Tuning, Network Administration, Software Installation, Network Troubleshooting",4.2,2000,
32,Data Analysis with Tableau,Coursera,Data Science; Information Technology,Beginner,1 - 4 Weeks,"Exploratory Data Analysis, Tableau Software, Statistical Visualization, Data Analysis, Descriptive Statistics, Predictive Analytics, Data Processing, Box Plots, Statistical Analysis, Data Cleansing, Scatter Plots, Data Visualization Software, Trend Analysis, Analytics, Histogram, Data Transformation, Business Analytics, Data Manipulation, Regression Analysis, Correlation Analysis",3.7,48,
33,Mathematics for Machine Learning: Linear Algebra,Coursera,Data Science,Beginner,1 - 3 Months,"Linear Algebra, NumPy, Applied Mathematics, Data Transformation, Data Science, Machine Learning Methods, Algorithms, Data Manipulation, Python Programming",4.7,12000,
34,Getting Started with Git and GitHub,Coursera,Computer Science,Beginner,1 - 4 Weeks,"Git (Version Control System), GitHub, Version Control, Open Source Technology, Web Development Tools, Command-Line Interface, DevOps",4.6,1600,
35,Introduction to Structured Query Language (SQL),Coursera,Computer Science,Intermediate,1 - 4 Weeks,"Database Design, SQL, MySQL, Relational Databases, Database Management, Databases, Data Modeling, Data Integrity, Development Environment, Software Installation",4.8,5400,
36,"High Performance Collaboration: Leadership, Teamwork, and Negotiation",Coursera,Business,Mixed,1 - 4 Weeks,"Leadership, Business Leadership, Negotiation, Organizational Leadership, Teamwork, Leadership Development, Leadership and Management, Team Management, Team Building, People Development, Collaboration, Professional Development, Employee Coaching, Conflict Management, Decision Making, Goal Setting",4.6,76,
37,Innovations in Investment Technology: Artificial Intelligence,Coursera,Business,Beginner,1 - 4 Weeks,"Design Thinking, Human Centered Design, Innovation, Growth Mindedness, Creativity, Collaboration, Dealing With Ambiguity, Empathy, Qualitative Research, Data Visualization, Active Listening",4.4,33,
38,Data Analysis with OpenAI API: Save time with GenAI,Coursera,Data Science,Intermediate,Less Than 2 Hours,"Generative AI, Exploratory Data Analysis, OpenAI, Data Analysis, Data-Driven Decision-Making, Trend Analysis, Sales Strategy, Application Programming Interface (API), E-Commerce, Data Manipulation, Artificial Intelligence, Python Programming",4.5,187,
39,Social Media Marketing in Practice,Coursera,Business,Beginner,3 - 6 Months,"Social Media Marketing, Social Media, Social Media Strategy, Social Media Management, Facebook, Content Marketing, Instagram, LinkedIn, Digital Marketing, Marketing, Social Media Content, Target Audience, Content Creation, Marketing Strategies, Advertising Campaigns, Digital Content, Brand Awareness, B2B Sales, Professional Networking, Integrated Marketing Communications",4.8,141,
40,Queries with OpenAI: Translate Natural Text to SQL,Coursera,Computer Science,Intermediate,Less Than 2 Hours,"SQL, ChatGPT, OpenAI, Pandas (Python Package), Query Languages, Natural Language Processing, Generative AI, Data Import/Export, Data Manipulation, Database Design, Python Programming",4.6,726,
41,Supply Chain Finance and Blockchain Technology,Coursera,Business,Intermediate,3 - 6 Months,"Working Capital, Supply Chain, Supplier Management, Supply Chain Management, Supplier Relationship Management, Blockchain, FinTech, Cash Flows, Purchasing, Procurement, Customer Analysis, Financial Market, Market Opportunities, Cash Management, Market Trend, Transaction Processing, Market Dynamics, Market Analysis, Risk Modeling, Emerging Technologies",4.8,4200,
42,Guided Tour of Machine Learning in Finance,Coursera,Information Technology,Intermediate,1 - 4 Weeks,"Supervised Learning, Machine Learning Methods, Applied Machine Learning, Machine Learning Algorithms, Machine Learning, Statistical Methods, Artificial Neural Networks, Statistical Modeling, Predictive Modeling, Scikit Learn (Machine Learning Library), Regression Analysis, Financial Services, Finance, Financial Market, Unsupervised Learning, Tensorflow, Reinforcement Learning",4.7,150,
43,Gestión de las empresas de alimentación y bebidas,Coursera,Business,Mixed,1 - 3 Months,"Creative Thinking, Creative Problem-Solving, Innovation, Ideation, Open Mindset, Curiosity, Market Opportunities, New Product Development, Business Strategies, Leadership",4.3,46,
44,Financial Accounting Fundamentals,Coursera,Business,Beginner,1 - 3 Months,"Financial Statements, Financial Accounting, Balance Sheet, Financial Reporting, Financial Statement Analysis, Annual Reports, Accrual Accounting, Income Statement, Financial Analysis, Generally Accepted Accounting Principles (GAAP), Accounting Records, Cash Flows",4.7,428,
45,Introduction to Recommender Systems:  Non-Personalized and Content-Based,Coursera,Information Technology,Intermediate,1 - 3 Months,"Taxonomy, Spreadsheet Software, Machine Learning, Predictive Analytics, Data Mining, Persona Development, Information Architecture, Statistics, Algorithms, Java",4.6,53,
46,Neural Networks and Deep Learning,Coursera,Data Science; Information Technology,Intermediate,1 - 4 Weeks,"Deep Learning, Artificial Neural Networks, Tensorflow, Supervised Learning, Keras (Neural Network Library), Artificial Intelligence, Machine Learning, Python Programming, NumPy, Performance Tuning",4.9,123000,
47,Detect and Mitigate Ethical Risks,Coursera,Data Science,Beginner,1 - 3 Months,"Data Ethics, Accountability, Risk Management, Operational Risk, Risk Analysis, Information Privacy, Risk Mitigation, Safety and Security, Business Ethics, Artificial Intelligence, Diversity and Inclusion, Stakeholder Engagement",4.7,76,
48,Reinforcement Learning for Trading Strategies,Coursera,Data Science,Intermediate,1 - 4 Weeks,"Reinforcement Learning, Financial Trading, Deep Learning, Portfolio Management, Artificial Intelligence and Machine Learning (AI/ML), Artificial Neural Networks, Markov Model, Machine Learning, Financial Market, Time Series Analysis and Forecasting",4.7,342,
49,Play It Safe: Manage Security Risks,Coursera,Computer Science,Beginner,1 - 4 Weeks,"Open Web Application Security Project (OWASP), Security Controls, Risk Management, Cybersecurity, Security Information and Event Management (SIEM), Incident Response, NIST 800-53, Cyber Security Policies, Cyber Risk, Safety Audits, Threat Detection, Compliance Auditing",4.8,8900,
50,Introduction to Data Analytics for Business,Coursera,Data Science,Beginner,1 - 4 Weeks,"Data Governance, Analytics, Business Analytics, Data Storage, Data Management, Big Data, Databases, Business Intelligence, Data Analysis, Relational Databases, Data Quality, SQL, Organizational Structure, Cloud Computing, Data Manipulation",4.3,11,
51,Project Management Performance Domains,Coursera,Business,Beginner,1 - 4 Weeks,"Global Marketing, Growth Strategies, Digital Marketing, Marketing, Content Marketing, Marketing Strategies, Brand Marketing, Marketing Communications, New Business Development, Social Media Marketing, Innovation, Business Strategies, Consumer Behaviour, Strategic Partnership, Storytelling",4.6,4200,
52,Build and deploy a stroke prediction model using R,Coursera,Data Science,Intermediate,Less Than 2 Hours,"Feature Engineering, Predictive Modeling, Predictive Analytics, R Programming, Data Analysis, Statistical Analysis, Data Cleansing, Exploratory Data Analysis, Data Manipulation, Data Processing, Application Deployment, Data Import/Export, Machine Learning",4.4,108,
53,"Everyday Excel, Part 2",Coursera,Computer Science,Intermediate,1 - 3 Months,"Regression Analysis, Depreciation, Microsoft Excel, Statistical Modeling, Excel Formulas, Financial Analysis, Cash Flows, Predictive Modeling, Data Management, Spreadsheet Software, Financial Modeling, Data Analysis Expressions (DAX), Productivity Software, Business Mathematics, Finance, Advanced Analytics, Financial Forecasting, Process Optimization",4.6,817,
54,Developing Android Apps with App Inventor,Coursera,Computer Science,Beginner,1 - 3 Months,"Android Development, User Interface (UI), User Interface and User Experience (UI/UX) Design, Mobile Development, Interactive Design, Application Development, Data Storage, Program Development, Global Positioning Systems, Programming Principles, Computer Programming, Event-Driven Programming, Computer Graphics",4.8,28,
55,Advanced Data Visualization with Tableau,Coursera,Data Science,Beginner,1 - 4 Weeks,"Data Visualization Software, Spatial Data Analysis, Tableau Software, Data Storytelling, Interactive Data Visualization, Stakeholder Communications, Geospatial Mapping, Business Reporting, Data Analysis, Business Intelligence",4.3,594,
56,Engineering Project Management: Initiating and Planning,Coursera,Business,Beginner,1 - 3 Months,"Communication Planning, Stakeholder Management, Organizational Structure, Project Documentation, Project Management, Project Management Life Cycle, Project Scoping, Project Planning, Requirements Management, Financial Analysis, Business Analysis, Peer Review",4.8,2600,
57,Automation & Advanced Techniques with Copilot in Excel,Coursera,Data Science,Beginner,1 - 4 Weeks,"Excel Macros, Dashboard, Microsoft Excel, Predictive Modeling, Visual Basic (Programming Language), Automation, UI Components, Debugging, Productivity Software, Scenario Testing, User Interface (UI)",4.5,38,
58,Customer-Centric IT Strategy,Coursera,Business,Beginner,1 - 4 Weeks,"Talent Management, Talent Pipelining, Employee Onboarding, Employee Performance Management, Employee Coaching, Talent Recruitment, Performance Review, Talent Acquisition, Performance Management, Leadership Development, Performance Measurement, Employee Engagement, Constructive Feedback",4.7,337,
59,Python Data Products for Predictive Analytics,Coursera,Data Science; Information Technology,Intermediate,3 - 6 Months,"Supervised Learning, Feature Engineering, Predictive Modeling, Data Processing, Data Manipulation, Predictive Analytics, Interactive Data Visualization, Design Thinking, Web Scraping, Machine Learning Algorithms, Flask (Web Framework), Data Visualization Software, Scikit Learn (Machine Learning Library), Application Deployment, Data Cleansing, Data Validation, Verification And Validation, Django (Web Framework), Statistical Modeling, Web Applications",4.6,14,
60,Introduction to Accounting Data Analytics and Visualization,Coursera,Business,Beginner,1 - 3 Months,"Human Resource Strategy, Organizational Strategy, Organizational Structure, Organizational Effectiveness, Workforce Planning, Organizational Change, Risk Mitigation, Risk Management, Business Strategy, Key Performance Indicators (KPIs), Report Writing",4.7,20,
61,"Data Warehouse Concepts, Design, and Data Integration",Coursera,Computer Science,Mixed,1 - 3 Months,"Data Warehousing, Database Design, Data Integration, Extract, Transform, Load, Data Modeling, Star Schema, Relational Databases, Snowflake Schema, Data Architecture, Business Intelligence, SQL, Pivot Tables And Charts, PostgreSQL, MySQL, Data Transformation, Data Quality, Oracle Cloud",4.6,22,
62,Business Models For Sustainability,Coursera,Business,Beginner,1 - 3 Months,"Corporate Sustainability, Stakeholder Engagement, Business Modeling, Innovation, Environmental Social And Corporate Governance (ESG), Organizational Strategy, Stakeholder Communications, Business Strategies, Business Transformation, Sustainability Reporting, Business Ethics, Business Process, Environmental Issue, Strategic Communication, Natural Resource Management, Systems Thinking, Pollution Prevention, Strategic Partnership, Consumer Behaviour, Resource Utilization",4.7,10,
63,Executive Data Science,Coursera,Information Technology,Beginner,1 - 3 Months,"Data Quality, Exploratory Data Analysis, Data Presentation, Employee Onboarding, Data Management, Team Motivation, Technical Communication, Data Analysis, Project Management, Interviewing Skills, Data Visualization, Data Cleansing, Data Science, Data-Driven Decision-Making, Management Reporting, Organizational Leadership, Data Storytelling, Team Management, Analytical Skills, Business Analytics",4.5,11000,
64,Exploratory Data Analysis with MATLAB,Coursera,Information Technology,Beginner,1 - 3 Months,"Interactive Data Visualization, Data Import/Export, Technical Communication, Data Analysis, Exploratory Data Analysis, Data Visualization Software, Data Cleansing, Data-Driven Decision-Making, Matlab, Statistical Analysis, Probability & Statistics, Descriptive Statistics, Data Manipulation, Data Mapping, Scripting",4.5,60,
65,¡A Programar! Una introducción a la programación,Coursera,Computer Science,Beginner,1 - 3 Months,"Software Engineering, Software Design, Software Development, Software Documentation, Programming Principles, Computer Programming, Debugging, Computational Thinking, Algorithms, Event-Driven Programming",3.6,16,
66,CUDA Advanced Libraries,Coursera,Computer Science,Intermediate,1 - 3 Months,"Artificial Neural Networks, Applied Machine Learning, Deep Learning, Natural Language Processing, Artificial Intelligence and Machine Learning (AI/ML), Linear Algebra, Mathematical Software, Numerical Analysis, Machine Learning, Data Processing, Data Structures, Performance Tuning, Data Transformation, Algorithms",4.8,3100,
67,Computer Hardware and Software,Coursera,Computer Science,Beginner,1 - 4 Weeks,"Network Security, Computer Hardware, Computer Systems, Information Technology, Networking Hardware, General Networking, Network Protocols, Operating Systems, Software Systems, Microsoft Windows, Mac OS",4.6,413,
68,Communication in the 21st Century Workplace,Coursera,Business,Beginner,1 - 4 Weeks,"Customer Relationship Management (CRM) Software, Salesforce, Sales Prospecting, Sales Development, Sales Enablement, Inside Sales, Technical Sales, Sales Strategy, Sales Pipelines, LinkedIn, Lead Generation, Productivity Software, Email Marketing, Social Media",4.7,1900,
69,Health Data Science Foundation,Coursera,Data Science,Advanced,1 - 4 Weeks,"Deep Learning, Health Information Management and Medical Records, Machine Learning, Machine Learning Algorithms, Artificial Neural Networks, Supervised Learning, Applied Machine Learning, Artificial Intelligence and Machine Learning (AI/ML), Computer Vision, Medical Science and Research, Image Analysis, Healthcare Industry Knowledge, Program Development, Predictive Modeling, Electronic Medical Record",4.6,262,
70,Supply Chain Management and Analytics,Coursera,Information Technology,Beginner,1 - 3 Months,"Supply Chain, Demand Planning, Supply Chain Management, Supply Chain Planning, Process Improvement, Transportation, Supply Chain, and Logistics, Logistics Management, Supplier Management, Analytics, Corporate Sustainability, Scheduling, Inventory Management System, Forecasting, Security Management, Risk Management",4.8,318,
71,AI-Enhanced Presentations Captivating Audiences with TOME,Coursera,Data Science,Beginner,1 - 4 Weeks,"Generative AI, Presentations, Microsoft PowerPoint, Document Management, Sales Presentations",4.7,3100,
72,Successful AI Strategies: A CEO's Perspective,Coursera,Data Science,Intermediate,1 - 3 Months,"Strategic Leadership, Generative AI, Business Strategy, Data Strategy, Business Transformation, Strategic Decision-Making, Organizational Strategy, Technology Strategies, Deep Learning, Artificial Intelligence, Human Resource Strategy, Human Centered Design, Data Quality, Workforce Development, Design Thinking, Governance, Goal Setting, Ethical Standards And Conduct",4.1,62,
73,Put It to Work: Prepare for Cybersecurity Jobs,Coursera,Computer Science,Beginner,1 - 3 Months,"Data Ethics, Incident Response, Security Awareness, Computer Security Incident Management, Incident Management, Cybersecurity, Security Management, Computer Security Awareness Training, Cyber Security Policies, Artificial Intelligence, Technical Communication",4.8,4500,
74,Researcher's Guide to Omic Data,Coursera,Data Science; Information Technology,Intermediate,3 - 6 Months,"Bioinformatics, Data Processing, Data Analysis, Exploratory Data Analysis, Statistical Analysis, Metadata Management, Science and Research, R Programming, Spatial Data Analysis, Data Management, Data Collection, Data Quality, Scientific Methods, Life Sciences, Research, General Science and Research, Analysis, Research Methodologies, Research Design",3.5,11,
75,Exploratory Data Analysis for Machine Learning,Coursera,Data Science; Information Technology,Intermediate,1 - 3 Months,"Exploratory Data Analysis, Feature Engineering, Data Cleansing, Data Access, Data Analysis, Statistical Inference, Statistical Hypothesis Testing, Data Quality, Probability & Statistics, Jupyter, Big Data, Machine Learning, Data Manipulation, Pandas (Python Package), Statistical Analysis, Data Transformation, Data Presentation, Artificial Intelligence",4.6,2100,
76,Project: Generative AI Applications with RAG and LangChain,Coursera,Data Science,Intermediate,1 - 4 Weeks,"Generative AI, Artificial Intelligence, Document Management, Application Development, Natural Language Processing, Unstructured Data, User Interface (UI), Databases, Data Storage",4.3,58,
77,Data Storytelling,Coursera,Data Science,Beginner,1 - 4 Weeks,"Data Storytelling, Data Presentation, Data Visualization, Interactive Data Visualization, Storyboarding, Storytelling, Data Visualization Software, Infographics, Data Ethics, Data Analysis, Ethical Standards And Conduct, Design Elements And Principles",4.8,1400,
78,Leadership Communication for Maximum Impact: Storytelling,Coursera,Business,Mixed,1 - 4 Weeks,"Blockchain, Business Transformation, Business Leadership, Governance, Strategic Leadership, FinTech, Technology Strategies, Business, Business Strategy, Emerging Technologies, Innovation, Entrepreneurship",4.8,360,
79,Travel Agency Operations,Coursera,Business,Beginner,1 - 4 Weeks,"Booking (Sales), Selling Techniques, Sales, Sales Process, Hospitality, Client Services, Office Procedures, Financial Analysis, Transportation Operations, Workflow Management, Document Management",4.7,2200,
80,Big Data Analysis with Scala and Spark,Coursera,Computer Science,Intermediate,1 - 4 Weeks,"Apache Spark, Apache Hadoop, Scala Programming, Distributed Computing, Big Data, Data Manipulation, Data Processing, Performance Tuning, Data Analysis",4.8,1000,
81,Document Design,Coursera,Computer Science,Mixed,1 - 4 Weeks,"Adobe Acrobat, Document Management, Workflow Management, File Management, Presentations, Client Services, Marketing Design, Version Control, Branding, Project Scoping, Constructive Feedback",4.6,7700,
82,Повествование и влияние: Эффектная коммуникация,Coursera,Business,Mixed,1 - 3 Months,"Earned Value Management, Project Schedules, Procurement, Scheduling, Capital Budgeting, Financial Analysis, Project Performance, Spreadsheet Software, Cost Management, Project Estimation, Cost Benefit Analysis, Microsoft Excel, Investment Management, Project Management Institute (PMI) Methodology, Return On Investment, Variance Analysis, Forecasting",4.7,81,
83,Accounting Data Analytics,Coursera,Data Science; Information Technology,Intermediate,3 - 6 Months,"Machine Learning Algorithms, Jupyter, Tableau Software, Matplotlib, Data Visualization Software, Unsupervised Learning, Data Visualization, Pandas (Python Package), Scikit Learn (Machine Learning Library), Data Manipulation, Machine Learning, Excel Macros, Text Mining, Applied Machine Learning, Time Series Analysis and Forecasting, Data Processing, Statistical Visualization, Analytics, Accounting and Finance Software, Analytical Skills",4.9,13,
84,Analítica y ciencia de datos para negocios,Coursera,Data Science,Beginner,1 - 3 Months,"Business Analytics, Dimensionality Reduction, Data Processing, Analytics, Data Cleansing, Data Transformation, Anomaly Detection, Databases, R Programming, Data Analysis, Data Quality, Data Science, Exploratory Data Analysis, Statistical Methods",4.6,2700,
85,Introduction to Public Relations and the Media,Coursera,Business,Beginner,3 - 6 Months,"Press Releases, Strategic Communication, Media Relations, Public Relations, Marketing and Public Relations, Media and Communications, Crisis Management, Marketing Communications, Corporate Communications, Corporate Sustainability, Brand Strategy, Content Creation, Branding, Storytelling, Business Ethics, Communication, Social Media, Communication Strategies, Persuasive Communication, Professional Networking",4.6,411,
86,UX: Research Process,Coursera,Computer Science,Intermediate,1 - 3 Months,"User Experience, Information Architecture, Design Thinking, User Experience Design, Usability Testing, User Research, Usability, Persona Development, User Flows, Content Creation, Interviewing Skills, Storytelling",4.3,799,
87,"Sequences, Time Series and Prediction",Coursera,Information Technology,Intermediate,1 - 4 Weeks,"Tensorflow, Time Series Analysis and Forecasting, Keras (Neural Network Library), Applied Machine Learning, Deep Learning, Predictive Modeling, Artificial Neural Networks, Forecasting, Machine Learning",4.7,5100,
88,Introduction to Business Analysis Using Spreadsheets: Basics,Coursera,Data Science,Beginner,Less Than 2 Hours,"Google Sheets, Spreadsheet Software, Data Presentation, Data Analysis, Data Visualization Software, Productivity Software, Business Analysis, Data Manipulation, Descriptive Statistics, Statistics, Excel Formulas, Data Cleansing, Mathematical Software",4.8,355,
